ril_gen,ril,gen,ht_ctrl,ht_t,spad_ctrl,spad_t,rwc_ctrl,rwc_t,agb_ctrl,agb_t,bgb_ctrl,bgb_t,lt_ctrl,lt_t
E8W_F5,E8W,F5,11.2,7.9,22.1,23.3,96.06299213,94.44444444,0.6859,0.1482,0.3359,0.1378,32.2,38.4
E8W_F5,E8W,F5,11.5,6.5,26.5,21.1,98.55072464,100,0.4092,0.1435,0.2028,0.0773,NA,NA
E8W_F5,E8W,F5,12.2,8.2,25.1,20.1,97.5,16.4556962,0.7846,0.1457,0.3119,0.1139,NA,NA
L1_F5,L1,F5,12.8,8.3,25.3,23,124.137931,93.47826087,0.5499,0.2584,0.3142,0.1407,25.6,34.2
L1_F5,L1,F5,12.8,9.7,27.6,26,103.8461538,18.75,0.5448,0.1514,0.2643,0.1036,32.7,36.1
L1_F5,L1,F5,12.1,8.3,27.8,14.1,104,21.21212121,0.4086,0.2019,0.2149,0.0649,NA,NA
L1_F5,L1,F5,13.4,8.5,26.7,20.2,95.58823529,68.18181818,0.4555,0.2162,0.198,0.1167,NA,NA
L10_F3,L10,F3,10,7,37,NA,98.33333333,NA,0.6409,0.2104,0.2102,0.1322,31.5,34.1
L10_F3,L10,F3,12.1,8,33.1,NA,89.7810219,NA,0.3972,0.0521,0.1333,0.1055,28.4,34.6
L10_F3,L10,F3,12,8.3,31.1,24.9,89.44099379,86.95652174,0.8138,0.1946,0.3423,0.0826,NA,NA
L10_F3,L10,F3,14,8.2,30.1,20.3,96.2962963,100,0.6301,0.1754,0.2106,0.0922,NA,NA
L11_F3,L11,F3,15.1,10.5,26.1,NA,100,NA,0.7022,0.1494,0.2543,0.0948,32,34
L11_F3,L11,F3,17.4,12.1,29.3,14.2,101.5748031,17.64705882,0.6333,0.2083,0.3166,0.1221,33,36.7
L11_F3,L11,F3,15.4,11.6,29.1,17.8,89.47368421,46.15384615,0.6542,0.1431,0.3369,0.0931,NA,NA
L11_F3,L11,F3,17.8,8.2,27.4,15.2,110.7142857,97.82608696,0.4888,0.2407,0.2393,0.1461,NA,NA
L12_F4,L12,F4,15,10.5,28.7,24.4,98.94736842,-14.92537313,0.4618,0.2061,0.1993,0.1019,32.9,37.4
L12_F4,L12,F4,11.6,12,29.6,32,100,19.40298507,0.5132,0.2403,0.2628,0.0953,30.5,32.9
L12_F4,L12,F4,13.2,10,24.6,21.8,96.875,17.77777778,0.2983,0.2119,0.1141,0.1201,NA,NA
L12_F4,L12,F4,13.5,5.4,23.8,17.4,91.35802469,88.23529412,0.4564,0.0756,0.1933,0.0536,NA,NA
L13_F5,L13,F5,13.7,9.4,26.6,29.2,100,27.65957447,0.1306,0.1946,0.0353,0.0521,29.7,36.6
L13_F5,L13,F5,13.2,7.9,31.4,31,90.47619048,21.68674699,0.3914,0.137,0.1424,0.0953,27.8,36.2
L13_F5,L13,F5,10.6,1.3,29.4,3.2,94.64285714,89.47368421,0.2937,0.0067,0.0757,0.0021,NA,NA
L13_F5,L13,F5,10.2,6.6,24.9,19.7,100,87.17948718,0.2891,0.1449,0.1146,0.0764,NA,NA
L14_F3,L14,F3,16.9,8.5,28.5,9.8,96.82539683,37.20930233,0.5649,0.1584,0.1724,0.0822,30.1,34.3
L14_F3,L14,F3,12,9.3,25.3,23.1,86.15384615,61.97183099,0.6922,0.2924,0.2172,0.1297,28.6,34.2
L14_F3,L14,F3,14.8,8.4,33.1,24,72.85714286,83.33333333,0.4285,0.2016,0.1348,0.0678,NA,NA
L14_F3,L14,F3,12.5,10,30.2,31,86.07594937,47.5,0.5887,0.2547,0.1086,0.1149,NA,NA
L15_F3,L15,F3,11.5,10.3,30.8,NA,100,22.60273973,0.5964,0.1397,0.1581,0.0852,31.4,34.4
L15_F3,L15,F3,14.9,9.4,26.8,25.2,94.11764706,116.6666667,0.5531,0.2786,0.3009,0.1378,32.4,35.5
L15_F3,L15,F3,15.4,11.1,19.5,25.7,85.58558559,26.78571429,0.6859,0.14,0.4328,0.116,NA,NA
L15_F3,L15,F3,19.2,9.2,29.4,17.7,94.11764706,27.45098039,0.5453,0.167,0.2927,0.085,NA,NA
